T5	T10	T15	T20	T25	T30	T35	T40
177.039381947	215.331692263	245.971424679	298.185530738	299.431530191	260.560369697	191.059292141	119.046599464
277.780271494	232.159703717	171.555282833	157.283310896	198.35811699	161.760457741	179.669037513	331.300169411
330.304636938	337.599368124	262.279617219	209.562249178	198.870293002	188.880384389	188.718989942	285.713147045
365.633522657	403.757869409	352.793892722	276.639544313	373.541430011	283.672605598	387.504634833	468.041787585
278.577922653	253.138815154	246.363061869	269.666517246	283.200876488	168.973633916	110.444825346	187.86855796
241.928418293	269.941981737	186.190789718	118.933853022	141.721065756	124.563994232	114.400791126	230.675756359
254.797496821	265.62494941	214.416501551	218.882943377	143.154843119	123.641633207	104.503677471	144.646707471
296.881190689	302.061746044	239.709511796	177.623572649	209.425066525	159.43514895	153.851126834	286.624989436
129.495307099	237.31812698	173.948918734	223.357083437	267.408441777	180.92453453	90.4671731853	120.85182061
214.199661879	199.447379778	160.336689619	90.9152097162	96.1213912604	76.9863126263	103.43749285	229.183518008
214.901587262	255.621228416	191.297193898	140.830097685	133.123662654	69.3670837607	94.481647005	161.935852358
251.903743432	196.891463658	113.764087365	77.9640808585	97.8024656188	101.679225874	83.1959931715	151.390977008
256.703659509	270.526544244	247.197912408	228.751271129	206.503939883	134.662101204	94.0326855451	214.282846394
311.378486787	290.474094007	245.763944178	188.707024901	188.194481869	175.033131542	157.707377235	296.011378448
113.415378683	189.461375355	215.477113961	242.356276382	222.562043997	133.056292472	86.7863670439	99.907206462
289.037140405	209.794471792	172.406354763	121.902652664	150.147383415	139.512132734	119.879939239	243.896827032
276.819657668	246.740442048	154.28997107	121.26888064	152.102861129	125.848949264	159.796345501	247.984098758
286.571598869	289.359092472	331.634668122	318.383345694	283.22660427	203.795876077	148.860787062	242.563491533
266.283935444	268.956473229	266.174101657	290.089683379	233.938867351	140.354167503	127.339258181	236.885983307
220.021343753	220.119452387	132.075596487	90.7909361201	104.212376354	65.9887440222	73.1409593486	104.496894699
279.619180871	276.910029802	196.587359691	134.697898596	173.806691573	149.671449751	156.087380224	269.093763979
201.387947128	248.650405884	205.914877897	229.421027957	224.902171389	143.143037153	85.5920955726	105.507369589
259.611736426	293.082564181	229.554800763	191.443632907	168.232797405	141.406708481	109.061640951	215.606331332
214.73321654	207.031591072	123.70682125	76.8004588944	96.6775315099	89.1525000154	100.964938706	215.616210389
226.93809652	196.51420714	196.788910681	188.243538397	253.270804536	271.097375225	362.741870468	302.080493625
272.402242647	338.243822825	265.671899425	196.828158042	293.338900998	219.099109403	297.194624976	386.12147489
685.123278252	671.914846456	603.282446136	518.276727448	631.877853969	559.360111357	607.476558133	686.049594807
296.890025452	275.33579249	198.62837465	144.939587945	164.928729729	176.46092941	169.834489758	280.488670042
209.793188809	213.076807033	100.565425383	71.3785976964	100.793984887	82.1512878887	81.252292697	181.985327864
265.095028044	260.60072557	252.890087584	205.185333324	214.885816946	125.728871543	116.894659054	150.910670047
220.119455571	212.260847682	150.010092975	65.3412191542	94.0776195938	74.6616623419	87.1216242399	137.245994074
